id,author/disease,gene,n_articles
4701,Li T/Autistic disorder,tumor necrosis factor,2
1822,Delpech JC/Autistic disorder,tumor necrosis factor,2
9413,Zhu B/Autistic disorder,tumor necrosis factor,2
4142,Kishore P/Autistic disorder,tumor necrosis factor,2
4276,Koshi T/Autistic disorder,tumor necrosis factor,2
4917,Luo R/Autistic disorder,tumor necrosis factor,2
6608,Pratt KJB/Autistic disorder,tumor necrosis factor,2
6570,Popova G/Autistic disorder,tumor necrosis factor,2
5986,Nowakowski TJ/Autistic disorder,tumor necrosis factor,2
8629,Villeda SA/Autistic disorder,tumor necrosis factor,2
6482,Piao X/Autistic disorder,tumor necrosis factor,2
7252,Santos-Terra J/Autistic disorder,parvalbumin,2
1795,Deckmann I/Autistic disorder,parvalbumin,2
1166,Carello-Collar G/Autistic disorder,parvalbumin,2
5991,Nunes GD/Autistic disorder,parvalbumin,2
611,Bauer-Negrini G/Autistic disorder,parvalbumin,2
7421,Schwingel GB/Autistic disorder,parvalbumin,2
2434,Fontes-Dutra M/Autistic disorder,parvalbumin,2
6917,Riesgo R/Autistic disorder,parvalbumin,2
2887,Gottfried C/Autistic disorder,parvalbumin,2
7252,Santos-Terra J/Autistic disorder,somatostatin,2
1795,Deckmann I/Autistic disorder,somatostatin,2
1166,Carello-Collar G/Autistic disorder,somatostatin,2
5991,Nunes GD/Autistic disorder,somatostatin,2
611,Bauer-Negrini G/Autistic disorder,somatostatin,2
7421,Schwingel GB/Autistic disorder,somatostatin,2
2434,Fontes-Dutra M/Autistic disorder,somatostatin,2
6917,Riesgo R/Autistic disorder,somatostatin,2
2887,Gottfried C/Autistic disorder,somatostatin,2
3583,Imam B/Autistic disorder,oxytocin receptor,3
6742,Rahmatinia M/Autistic disorder,oxytocin receptor,3
7515,Shahsavani A/Autistic disorder,oxytocin receptor,3
4065,Khodagholi F/Autistic disorder,oxytocin receptor,3
3409,Hopke PK/Autistic disorder,oxytocin receptor,3
619,Bazazzpour S/Autistic disorder,oxytocin receptor,3
3071,Hadei M/Autistic disorder,oxytocin receptor,3
9156,Yarahmadi M/Autistic disorder,oxytocin receptor,3
15,Abdollahifar MA/Autistic disorder,oxytocin receptor,3
8332,Torkmahalleh MA/Autistic disorder,oxytocin receptor,3
4043,Kermani M/Autistic disorder,oxytocin receptor,3
3578,Ilkhani S/Autistic disorder,oxytocin receptor,3
5513,MirBehbahani SH/Autistic disorder,oxytocin receptor,3
3583,Imam B/Autistic disorder,interleukin 6,3
6742,Rahmatinia M/Autistic disorder,interleukin 6,3
7515,Shahsavani A/Autistic disorder,interleukin 6,3
4065,Khodagholi F/Autistic disorder,interleukin 6,3
3409,Hopke PK/Autistic disorder,interleukin 6,3
619,Bazazzpour S/Autistic disorder,interleukin 6,3
3071,Hadei M/Autistic disorder,interleukin 6,3
9156,Yarahmadi M/Autistic disorder,interleukin 6,3
15,Abdollahifar MA/Autistic disorder,interleukin 6,3
8332,Torkmahalleh MA/Autistic disorder,interleukin 6,3
4043,Kermani M/Autistic disorder,interleukin 6,3
3578,Ilkhani S/Autistic disorder,interleukin 6,3
5513,MirBehbahani SH/Autistic disorder,interleukin 6,3
3583,Imam B/Autistic disorder,tumor necrosis factor,3
6742,Rahmatinia M/Autistic disorder,tumor necrosis factor,3
7515,Shahsavani A/Autistic disorder,tumor necrosis factor,3
4065,Khodagholi F/Autistic disorder,tumor necrosis factor,3
3409,Hopke PK/Autistic disorder,tumor necrosis factor,3
619,Bazazzpour S/Autistic disorder,tumor necrosis factor,3
3071,Hadei M/Autistic disorder,tumor necrosis factor,3
9156,Yarahmadi M/Autistic disorder,tumor necrosis factor,3
15,Abdollahifar MA/Autistic disorder,tumor necrosis factor,3
8332,Torkmahalleh MA/Autistic disorder,tumor necrosis factor,3
4043,Kermani M/Autistic disorder,tumor necrosis factor,3
3578,Ilkhani S/Autistic disorder,tumor necrosis factor,3
5513,MirBehbahani SH/Autistic disorder,tumor necrosis factor,3
1319,Chen J/Autistic disorder,prosaposin,5
8755,Wang X/Autistic disorder,prosaposin,2
8759,Wang Y/Autistic disorder,prosaposin,2
6780,Ranjbar M/Autistic disorder,catalase,3
2108,Ejlersen M/Autistic disorder,superoxide dismutase 1,2
3576,Ilieva M/Autistic disorder,superoxide dismutase 1,2
5455,Michel TM/Autistic disorder,superoxide dismutase 1,2
2108,Ejlersen M/Autistic disorder,superoxide dismutase 2,2
3576,Ilieva M/Autistic disorder,superoxide dismutase 2,2
5455,Michel TM/Autistic disorder,superoxide dismutase 2,2
8737,Wang H/Autistic disorder,glutathione peroxidase 4,4
4817,Liu S/Autistic disorder,glutathione peroxidase 4,3
8746,Wang P/Autistic disorder,glutathione peroxidase 4,2
8022,Sun H/Autistic disorder,glutathione peroxidase 4,2
4713,Li Z/Autistic disorder,insulin,2
4823,Liu X/Autistic disorder,insulin,4
9355,Zhang Y/Autistic disorder,somatostatin,3
9339,Zhang J/Autistic disorder,somatostatin,5
8759,Wang Y/Autistic disorder,somatostatin,2
8740,Wang J/Autistic disorder,superoxide dismutase 2,3
8658,Vitobello A/Autistic disorder,heterogeneous nuclear ribonucleoprotein U,2
9355,Zhang Y/Autistic disorder,microtubule associated serine/threonine kinase 3,3
4810,Liu J/Autistic disorder,microtubule associated serine/threonine kinase 3,2
2980,Gu W/Autistic disorder,microtubule associated serine/threonine kinase 3,2
8746,Wang P/Autistic disorder,microtubule associated serine/threonine kinase 3,2
8737,Wang H/Autistic disorder,microtubule associated serine/threonine kinase 3,4
9136,Yang T/Autistic disorder,estrogen receptor 1,3
113,Al-Ayadhi L/Autistic disorder,tumor necrosis factor,2
2113,El-Ansary A/Autistic disorder,tumor necrosis factor,4
9365,Zhao P/Autistic disorder,thioredoxin,2
2535,Fu H/Autistic disorder,thioredoxin,2
1345,Cheng H/Autistic disorder,thioredoxin,2
9383,Zheng R/Autistic disorder,thioredoxin,2
9249,Yuan D/Autistic disorder,thioredoxin,2
9125,Yang J/Autistic disorder,thioredoxin,2
4698,Li S/Autistic disorder,thioredoxin,3
4680,Li E/Autistic disorder,thioredoxin,2
4689,Li L/Autistic disorder,thioredoxin,3
9365,Zhao P/Autistic disorder,caspase 1,2
2535,Fu H/Autistic disorder,caspase 1,2
1345,Cheng H/Autistic disorder,caspase 1,2
9383,Zheng R/Autistic disorder,caspase 1,2
9249,Yuan D/Autistic disorder,caspase 1,2
9125,Yang J/Autistic disorder,caspase 1,2
4698,Li S/Autistic disorder,caspase 1,3
4680,Li E/Autistic disorder,caspase 1,2
4689,Li L/Autistic disorder,caspase 1,3
9396,Zhou B/Autistic disorder,glutamate ionotropic receptor AMPA type subunit 2,2
8761,Wang Z/Autistic disorder,glutamate ionotropic receptor AMPA type subunit 2,2
9347,Zhang Q/Autistic disorder,glutamate ionotropic receptor AMPA type subunit 2,3
2980,Gu W/Autistic disorder,glutamate ionotropic receptor AMPA type subunit 2,2
2103,Eisenberg C/Autistic disorder,neuropilin 2,4
7990,Subramanian D/Autistic disorder,neuropilin 2,4
54,Afrasiabi M/Autistic disorder,neuropilin 2,4
9439,Ziobro P/Autistic disorder,neuropilin 2,4
1784,DeLucia J/Autistic disorder,neuropilin 2,4
3347,Hirschberg PR/Autistic disorder,neuropilin 2,4
7600,Shiflett MW/Autistic disorder,neuropilin 2,4
7239,Santhakumar V/Autistic disorder,neuropilin 2,4
8366,Tran TS/Autistic disorder,neuropilin 2,4
2103,Eisenberg C/Autistic disorder,parvalbumin,4
7990,Subramanian D/Autistic disorder,parvalbumin,4
54,Afrasiabi M/Autistic disorder,parvalbumin,4
9439,Ziobro P/Autistic disorder,parvalbumin,4
1784,DeLucia J/Autistic disorder,parvalbumin,4
3347,Hirschberg PR/Autistic disorder,parvalbumin,4
7600,Shiflett MW/Autistic disorder,parvalbumin,4
7239,Santhakumar V/Autistic disorder,parvalbumin,4
8366,Tran TS/Autistic disorder,parvalbumin,4
2103,Eisenberg C/Autistic disorder,somatostatin,4
7990,Subramanian D/Autistic disorder,somatostatin,4
54,Afrasiabi M/Autistic disorder,somatostatin,4
9439,Ziobro P/Autistic disorder,somatostatin,4
1784,DeLucia J/Autistic disorder,somatostatin,4
3347,Hirschberg PR/Autistic disorder,somatostatin,4
7600,Shiflett MW/Autistic disorder,somatostatin,4
7239,Santhakumar V/Autistic disorder,somatostatin,4
8366,Tran TS/Autistic disorder,somatostatin,4
2103,Eisenberg C/Autistic disorder,neuropeptide Y,4
7990,Subramanian D/Autistic disorder,neuropeptide Y,4
54,Afrasiabi M/Autistic disorder,neuropeptide Y,4
9439,Ziobro P/Autistic disorder,neuropeptide Y,4
1784,DeLucia J/Autistic disorder,neuropeptide Y,4
3347,Hirschberg PR/Autistic disorder,neuropeptide Y,4
7600,Shiflett MW/Autistic disorder,neuropeptide Y,4
7239,Santhakumar V/Autistic disorder,neuropeptide Y,4
8366,Tran TS/Autistic disorder,neuropeptide Y,4
8740,Wang J/Autistic disorder,parvalbumin,3
2623,Gao Y/Autistic disorder,parvalbumin,4
9137,Yang X/Autistic disorder,parvalbumin,2
1319,Chen J/Autistic disorder,parvalbumin,5
2113,El-Ansary A/Autistic disorder,insulin,4
3585,Imataka G/Autistic disorder,transferrin,2
9266,Yui K/Autistic disorder,transferrin,2
7606,Shiko Y/Autistic disorder,transferrin,2
4000,Kawasaki Y/Autistic disorder,transferrin,2
7276,Sasaki H/Autistic disorder,transferrin,2
7621,Shiroki R/Autistic disorder,transferrin,2
9224,Yoshihara S/Autistic disorder,transferrin,2
3585,Imataka G/Autistic disorder,ceruloplasmin,2
9266,Yui K/Autistic disorder,ceruloplasmin,2
7606,Shiko Y/Autistic disorder,ceruloplasmin,2
4000,Kawasaki Y/Autistic disorder,ceruloplasmin,2
7276,Sasaki H/Autistic disorder,ceruloplasmin,2
7621,Shiroki R/Autistic disorder,ceruloplasmin,2
9224,Yoshihara S/Autistic disorder,ceruloplasmin,2
113,Al-Ayadhi L/Autistic disorder,lysozyme,2
2113,El-Ansary A/Autistic disorder,lysozyme,4
8277,Tierney E/Autistic disorder,apolipoprotein A1,2
6856,Remaley AT/Autistic disorder,apolipoprotein A1,2
8264,Thurm A/Autistic disorder,apolipoprotein A1,2
3676,Jager LR/Autistic disorder,apolipoprotein A1,2
8777,Wassif CA/Autistic disorder,apolipoprotein A1,2
4317,Kratz LE/Autistic disorder,apolipoprotein A1,2
483,Bailey-Wilson JE/Autistic disorder,apolipoprotein A1,2
1040,Bukelis I/Autistic disorder,apolipoprotein A1,2
7270,Sarphare G/Autistic disorder,apolipoprotein A1,2
3847,Jung ES/Autistic disorder,apolipoprotein A1,2
914,Brand B/Autistic disorder,apolipoprotein A1,2
5960,Noah KK/Autistic disorder,apolipoprotein A1,2
6579,Porter FD/Autistic disorder,apolipoprotein A1,2
8277,Tierney E/Autistic disorder,apolipoprotein B,2
6856,Remaley AT/Autistic disorder,apolipoprotein B,2
8264,Thurm A/Autistic disorder,apolipoprotein B,2
3676,Jager LR/Autistic disorder,apolipoprotein B,2
8777,Wassif CA/Autistic disorder,apolipoprotein B,2
4317,Kratz LE/Autistic disorder,apolipoprotein B,2
483,Bailey-Wilson JE/Autistic disorder,apolipoprotein B,2
1040,Bukelis I/Autistic disorder,apolipoprotein B,2
7270,Sarphare G/Autistic disorder,apolipoprotein B,2
3847,Jung ES/Autistic disorder,apolipoprotein B,2
914,Brand B/Autistic disorder,apolipoprotein B,2
5960,Noah KK/Autistic disorder,apolipoprotein B,2
6579,Porter FD/Autistic disorder,apolipoprotein B,2
2623,Gao Y/Autistic disorder,agrin,4
3714,Jayaprakash P/Autistic disorder,catalase,3
7136,Sadek B/Autistic disorder,catalase,3
727,Bertoni A/Autistic disorder,oxytocin receptor,2
7316,Schaller F/Autistic disorder,oxytocin receptor,2
8463,Tyzio R/Autistic disorder,oxytocin receptor,2
2581,Gaillard S/Autistic disorder,oxytocin receptor,2
7244,Santini F/Autistic disorder,oxytocin receptor,2
9045,Xolin M/Autistic disorder,oxytocin receptor,2
1903,Diabira D/Autistic disorder,oxytocin receptor,2
8512,Vaidyanathan R/Autistic disorder,oxytocin receptor,2
5201,Matarazzo V/Autistic disorder,oxytocin receptor,2
5345,Medina I/Autistic disorder,oxytocin receptor,2
3120,Hammock E/Autistic disorder,oxytocin receptor,2
9339,Zhang J/Autistic disorder,oxytocin receptor,5
1382,Chini B/Autistic disorder,oxytocin receptor,2
2580,Gaiarsa JL/Autistic disorder,oxytocin receptor,2
5763,Muscatelli F/Autistic disorder,oxytocin receptor,2
727,Bertoni A/Autistic disorder,somatostatin,2
7316,Schaller F/Autistic disorder,somatostatin,2
8463,Tyzio R/Autistic disorder,somatostatin,2
2581,Gaillard S/Autistic disorder,somatostatin,2
7244,Santini F/Autistic disorder,somatostatin,2
9045,Xolin M/Autistic disorder,somatostatin,2
1903,Diabira D/Autistic disorder,somatostatin,2
8512,Vaidyanathan R/Autistic disorder,somatostatin,2
5201,Matarazzo V/Autistic disorder,somatostatin,2
5345,Medina I/Autistic disorder,somatostatin,2
3120,Hammock E/Autistic disorder,somatostatin,2
9339,Zhang J/Autistic disorder,somatostatin,5
1382,Chini B/Autistic disorder,somatostatin,2
2580,Gaiarsa JL/Autistic disorder,somatostatin,2
5763,Muscatelli F/Autistic disorder,somatostatin,2
9337,Zhang H/Autistic disorder,tumor necrosis factor,3
4817,Liu S/Autistic disorder,tumor necrosis factor,3
7428,Scott SR/Developmental disorder of mental health,leptin,3
5502,Millwood SN/Developmental disorder of mental health,leptin,3
5061,Manczak EM/Developmental disorder of mental health,leptin,3
7428,Scott SR/Developmental disorder of mental health,resistin,3
5502,Millwood SN/Developmental disorder of mental health,resistin,3
5061,Manczak EM/Developmental disorder of mental health,resistin,3
7428,Scott SR/Developmental disorder of mental health,apelin,3
5502,Millwood SN/Developmental disorder of mental health,apelin,3
5061,Manczak EM/Developmental disorder of mental health,apelin,3
5885,Newbury JB/Developmental disorder of mental health,C-reactive protein,2
354,Arseneault L/Developmental disorder of mental health,C-reactive protein,4
5558,Moffitt TE/Developmental disorder of mental health,C-reactive protein,4
6034,Odgers CL/Developmental disorder of mental health,C-reactive protein,2
3442,Howe LD/Developmental disorder of mental health,C-reactive protein,2
502,Bakolis I/Developmental disorder of mental health,C-reactive protein,2
6885,Reuben A/Developmental disorder of mental health,C-reactive protein,2
1702,Danese A/Developmental disorder of mental health,C-reactive protein,3
8000,Sugden K/Developmental disorder of mental health,C-reactive protein,2
8902,Williams B/Developmental disorder of mental health,C-reactive protein,2
6800,Rasmussen LJH/Developmental disorder of mental health,C-reactive protein,4
8399,Trotta A/Developmental disorder of mental health,C-reactive protein,2
233,Ambler AP/Developmental disorder of mental health,C-reactive protein,2
2397,Fisher HL/Developmental disorder of mental health,C-reactive protein,5
5885,Newbury JB/Developmental disorder of mental health,plasminogen,2
354,Arseneault L/Developmental disorder of mental health,plasminogen,4
5558,Moffitt TE/Developmental disorder of mental health,plasminogen,4
6034,Odgers CL/Developmental disorder of mental health,plasminogen,2
3442,Howe LD/Developmental disorder of mental health,plasminogen,2
502,Bakolis I/Developmental disorder of mental health,plasminogen,2
6885,Reuben A/Developmental disorder of mental health,plasminogen,2
1702,Danese A/Developmental disorder of mental health,plasminogen,3
8000,Sugden K/Developmental disorder of mental health,plasminogen,2
8902,Williams B/Developmental disorder of mental health,plasminogen,2
6800,Rasmussen LJH/Developmental disorder of mental health,plasminogen,4
8399,Trotta A/Developmental disorder of mental health,plasminogen,2
233,Ambler AP/Developmental disorder of mental health,plasminogen,2
2397,Fisher HL/Developmental disorder of mental health,plasminogen,5
6220,Palmos AB/Developmental disorder of mental health,C-reactive protein,2
3499,Hubel C/Developmental disorder of mental health,C-reactive protein,2
1507,Coleman JRI/Developmental disorder of mental health,C-reactive protein,3
938,Breen G/Developmental disorder of mental health,C-reactive protein,12
8740,Wang J/Developmental disorder of mental health,prolactin,7
6685,Qing Y/Developmental disorder of mental health,prolactin,2
1626,Cui G/Developmental disorder of mental health,prolactin,2
9339,Zhang J/Developmental disorder of mental health,prolactin,4
9137,Yang X/Developmental disorder of mental health,prolactin,5
4691,Li M/Developmental disorder of mental health,prolactin,2
8732,Wang D/Developmental disorder of mental health,prolactin,2
8721,Wan C/Developmental disorder of mental health,prolactin,2
213,Althammer F/Developmental disorder of mental health,oxytocin receptor,2
8930,Wimmer MC/Developmental disorder of mental health,oxytocin receptor,2
4301,Krabichler Q/Developmental disorder of mental health,oxytocin receptor,2
4392,Kuppers S/Developmental disorder of mental health,oxytocin receptor,2
7347,Schimmer J/Developmental disorder of mental health,oxytocin receptor,2
2521,Frohlich H/Developmental disorder of mental health,oxytocin receptor,2
1991,Dotsch L/Developmental disorder of mental health,oxytocin receptor,2
2967,Gruber T/Developmental disorder of mental health,oxytocin receptor,2
9007,Wunsch S/Developmental disorder of mental health,oxytocin receptor,2
7396,Schubert T/Developmental disorder of mental health,oxytocin receptor,2
4130,Kirchner MK/Developmental disorder of mental health,oxytocin receptor,2
7924,Stern JE/Developmental disorder of mental health,oxytocin receptor,2
1288,Charlet A/Developmental disorder of mental health,oxytocin receptor,2
2952,Grinevich V/Developmental disorder of mental health,oxytocin receptor,2
7311,Schaaf CP/Developmental disorder of mental health,oxytocin receptor,2
213,Althammer F/Developmental disorder of mental health,glial fibrillary acidic protein,2
8930,Wimmer MC/Developmental disorder of mental health,glial fibrillary acidic protein,2
4301,Krabichler Q/Developmental disorder of mental health,glial fibrillary acidic protein,2
4392,Kuppers S/Developmental disorder of mental health,glial fibrillary acidic protein,2
7347,Schimmer J/Developmental disorder of mental health,glial fibrillary acidic protein,2
2521,Frohlich H/Developmental disorder of mental health,glial fibrillary acidic protein,2
1991,Dotsch L/Developmental disorder of mental health,glial fibrillary acidic protein,2
2967,Gruber T/Developmental disorder of mental health,glial fibrillary acidic protein,2
9007,Wunsch S/Developmental disorder of mental health,glial fibrillary acidic protein,2
7396,Schubert T/Developmental disorder of mental health,glial fibrillary acidic protein,2
4130,Kirchner MK/Developmental disorder of mental health,glial fibrillary acidic protein,2
7924,Stern JE/Developmental disorder of mental health,glial fibrillary acidic protein,2
1288,Charlet A/Developmental disorder of mental health,glial fibrillary acidic protein,2
2952,Grinevich V/Developmental disorder of mental health,glial fibrillary acidic protein,2
7311,Schaaf CP/Developmental disorder of mental health,glial fibrillary acidic protein,2
1314,Chen D/Developmental disorder of mental health,tumor necrosis factor,2
9356,Zhang Z/Developmental disorder of mental health,tumor necrosis factor,5
9053,Xu J/Developmental disorder of mental health,tumor necrosis factor,2
4890,Lu L/Developmental disorder of mental health,tumor necrosis factor,6
7586,Shi J/Developmental disorder of mental health,tumor necrosis factor,3
3927,Kant T/Developmental disorder of mental health,catechol-O-methyltransferase,2
4292,Koyama E/Developmental disorder of mental health,catechol-O-methyltransferase,2
9279,Zai CC/Developmental disorder of mental health,catechol-O-methyltransferase,2
643,Beitchman JH/Developmental disorder of mental health,catechol-O-methyltransferase,2
4030,Kennedy JL/Developmental disorder of mental health,catechol-O-methyltransferase,4
3927,Kant T/Developmental disorder of mental health,monoamine oxidase A,2
4292,Koyama E/Developmental disorder of mental health,monoamine oxidase A,2
9279,Zai CC/Developmental disorder of mental health,monoamine oxidase A,2
643,Beitchman JH/Developmental disorder of mental health,monoamine oxidase A,2
4030,Kennedy JL/Developmental disorder of mental health,monoamine oxidase A,4
4515,Latham RM/Developmental disorder of mental health,C-reactive protein,2
4072,Kieling C/Developmental disorder of mental health,C-reactive protein,4
354,Arseneault L/Developmental disorder of mental health,C-reactive protein,4
4222,Kohrt BA/Developmental disorder of mental health,C-reactive protein,2
5558,Moffitt TE/Developmental disorder of mental health,C-reactive protein,4
6800,Rasmussen LJH/Developmental disorder of mental health,C-reactive protein,4
6977,Rocha TB/Developmental disorder of mental health,C-reactive protein,2
5592,Mondelli V/Developmental disorder of mental health,C-reactive protein,2
2397,Fisher HL/Developmental disorder of mental health,C-reactive protein,5
4515,Latham RM/Developmental disorder of mental health,plasminogen,2
4072,Kieling C/Developmental disorder of mental health,plasminogen,4
354,Arseneault L/Developmental disorder of mental health,plasminogen,4
4222,Kohrt BA/Developmental disorder of mental health,plasminogen,2
5558,Moffitt TE/Developmental disorder of mental health,plasminogen,4
6800,Rasmussen LJH/Developmental disorder of mental health,plasminogen,4
6977,Rocha TB/Developmental disorder of mental health,plasminogen,2
5592,Mondelli V/Developmental disorder of mental health,plasminogen,2
2397,Fisher HL/Developmental disorder of mental health,plasminogen,5
9331,Zhang C/Developmental disorder of mental health,glutamate ionotropic receptor AMPA type subunit 2,3
8761,Wang Z/Developmental disorder of mental health,glutamate ionotropic receptor AMPA type subunit 2,2
1336,Chen X/Developmental disorder of mental health,glutamate ionotropic receptor AMPA type subunit 2,3
3516,Hui L/Developmental disorder of mental health,glutamate ionotropic receptor AMPA type subunit 2,2
2666,Gass P/Developmental disorder of mental health,parvalbumin,3
3234,Hayes LN/Developmental disorder of mental health,parvalbumin,2
4666,Leweke FM/Developmental disorder of mental health,parvalbumin,3
7294,Sawa A/Developmental disorder of mental health,parvalbumin,3
5642,Mori-Yoshimura M/Developmental disorder of mental health,dystrophin,2
5945,Nishino I/Developmental disorder of mental health,dystrophin,2
8116,Takahashi Y/Developmental disorder of mental health,dystrophin,2
6685,Qing Y/Developmental disorder of mental health,thioredoxin,2
9055,Xu L/Developmental disorder of mental health,thioredoxin,3
1626,Cui G/Developmental disorder of mental health,thioredoxin,2
9137,Yang X/Developmental disorder of mental health,thioredoxin,5
9339,Zhang J/Developmental disorder of mental health,thioredoxin,4
9351,Zhang T/Developmental disorder of mental health,thioredoxin,2
3245,He L/Developmental disorder of mental health,thioredoxin,3
8740,Wang J/Developmental disorder of mental health,thioredoxin,7
8721,Wan C/Developmental disorder of mental health,thioredoxin,2
9471,Zunszain PA/Developmental disorder of mental health,C-reactive protein,3
6597,Powell TR/Developmental disorder of mental health,C-reactive protein,4
6266,Pariante CM/Developmental disorder of mental health,C-reactive protein,5
3429,Hotopf M/Developmental disorder of mental health,C-reactive protein,4
8740,Wang J/Developmental disorder of mental health,parvalbumin,7
4722,Liang G/Developmental disorder of mental health,parvalbumin,2
3466,Hu J/Developmental disorder of mental health,parvalbumin,3
9137,Yang X/Developmental disorder of mental health,parvalbumin,5
1319,Chen J/Developmental disorder of mental health,parvalbumin,7
4709,Li Y/Developmental disorder of mental health,phosphatase and tensin homolog,3
1344,Cheng C/Developmental disorder of mental health,ezrin,4
3434,Hou Y/Developmental disorder of mental health,ezrin,3
9356,Zhang Z/Developmental disorder of mental health,ezrin,5
8759,Wang Y/Developmental disorder of mental health,ezrin,7
4890,Lu L/Developmental disorder of mental health,ezrin,6
9342,Zhang L/Developmental disorder of mental health,ezrin,3
3764,Jiang P/Developmental disorder of mental health,ezrin,3
2618,Gao S/Developmental disorder of mental health,ezrin,3
2260,Fang Q/Developmental disorder of mental health,ezrin,3
9414,Zhu C/Developmental disorder of mental health,ezrin,3
2614,Gao J/Developmental disorder of mental health,ezrin,3
4823,Liu X/Developmental disorder of mental health,ezrin,6
9033,Xie W/Developmental disorder of mental health,ezrin,5
3754,Jia Z/Developmental disorder of mental health,ezrin,5
9066,Xu Z/Developmental disorder of mental health,ezrin,4
2620,Gao X/Developmental disorder of mental health,ezrin,3
1257,Chai R/Developmental disorder of mental health,ezrin,3
1344,Cheng C/Developmental disorder of mental health,radixin,4
3434,Hou Y/Developmental disorder of mental health,radixin,3
9356,Zhang Z/Developmental disorder of mental health,radixin,5
8759,Wang Y/Developmental disorder of mental health,radixin,7
4890,Lu L/Developmental disorder of mental health,radixin,6
9342,Zhang L/Developmental disorder of mental health,radixin,3
3764,Jiang P/Developmental disorder of mental health,radixin,3
2618,Gao S/Developmental disorder of mental health,radixin,3
2260,Fang Q/Developmental disorder of mental health,radixin,3
9414,Zhu C/Developmental disorder of mental health,radixin,3
2614,Gao J/Developmental disorder of mental health,radixin,3
4823,Liu X/Developmental disorder of mental health,radixin,6
9033,Xie W/Developmental disorder of mental health,radixin,5
3754,Jia Z/Developmental disorder of mental health,radixin,5
9066,Xu Z/Developmental disorder of mental health,radixin,4
2620,Gao X/Developmental disorder of mental health,radixin,3
1257,Chai R/Developmental disorder of mental health,radixin,3
1344,Cheng C/Developmental disorder of mental health,moesin,4
3434,Hou Y/Developmental disorder of mental health,moesin,3
9356,Zhang Z/Developmental disorder of mental health,moesin,5
8759,Wang Y/Developmental disorder of mental health,moesin,7
4890,Lu L/Developmental disorder of mental health,moesin,6
9342,Zhang L/Developmental disorder of mental health,moesin,3
3764,Jiang P/Developmental disorder of mental health,moesin,3
2618,Gao S/Developmental disorder of mental health,moesin,3
2260,Fang Q/Developmental disorder of mental health,moesin,3
9414,Zhu C/Developmental disorder of mental health,moesin,3
2614,Gao J/Developmental disorder of mental health,moesin,3
4823,Liu X/Developmental disorder of mental health,moesin,6
9033,Xie W/Developmental disorder of mental health,moesin,5
3754,Jia Z/Developmental disorder of mental health,moesin,5
9066,Xu Z/Developmental disorder of mental health,moesin,4
2620,Gao X/Developmental disorder of mental health,moesin,3
1257,Chai R/Developmental disorder of mental health,moesin,3
6983,Rodan LH/Developmental disorder of mental health,transcription factor 7,2
1507,Coleman JRI/Developmental disorder of mental health,C-reactive protein,3
3429,Hotopf M/Developmental disorder of mental health,C-reactive protein,4
4668,Lewis CM/Developmental disorder of mental health,C-reactive protein,6
6266,Pariante CM/Developmental disorder of mental health,C-reactive protein,5
5673,Mossink B/Developmental disorder of mental health,parvalbumin,2
9553,van Rhijn JR/Developmental disorder of mental health,parvalbumin,2
8749,Wang S/Developmental disorder of mental health,parvalbumin,2
4769,Linda K/Developmental disorder of mental health,parvalbumin,2
8651,Vitale MR/Developmental disorder of mental health,parvalbumin,2
9446,Zoller JEM/Developmental disorder of mental health,parvalbumin,2
9548,van Hugte EJH/Developmental disorder of mental health,parvalbumin,2
489,Bak J/Developmental disorder of mental health,parvalbumin,2
8591,Verboven AHA/Developmental disorder of mental health,parvalbumin,2
7463,Selten M/Developmental disorder of mental health,parvalbumin,2
5866,Negwer M/Developmental disorder of mental health,parvalbumin,2
4518,Latour BL/Developmental disorder of mental health,parvalbumin,2
9572,van der Werf I/Developmental disorder of mental health,parvalbumin,2
4021,Keller JM/Developmental disorder of mental health,parvalbumin,2
4161,Klein Gunnewiek TM/Developmental disorder of mental health,parvalbumin,2
7370,Schoenmaker C/Developmental disorder of mental health,parvalbumin,2
6156,Oudakker A/Developmental disorder of mental health,parvalbumin,2
252,Anania A/Developmental disorder of mental health,parvalbumin,2
3702,Jansen S/Developmental disorder of mental health,parvalbumin,2
4643,Lesch KP/Developmental disorder of mental health,parvalbumin,2
2496,Frega M/Developmental disorder of mental health,parvalbumin,2
9537,van Bokhoven H/Developmental disorder of mental health,parvalbumin,2
7394,Schubert D/Developmental disorder of mental health,parvalbumin,2
5784,Nadif Kasri N/Developmental disorder of mental health,parvalbumin,2
5673,Mossink B/Developmental disorder of mental health,somatostatin,2
9553,van Rhijn JR/Developmental disorder of mental health,somatostatin,2
8749,Wang S/Developmental disorder of mental health,somatostatin,2
4769,Linda K/Developmental disorder of mental health,somatostatin,2
8651,Vitale MR/Developmental disorder of mental health,somatostatin,2
9446,Zoller JEM/Developmental disorder of mental health,somatostatin,2
9548,van Hugte EJH/Developmental disorder of mental health,somatostatin,2
489,Bak J/Developmental disorder of mental health,somatostatin,2
8591,Verboven AHA/Developmental disorder of mental health,somatostatin,2
7463,Selten M/Developmental disorder of mental health,somatostatin,2
5866,Negwer M/Developmental disorder of mental health,somatostatin,2
4518,Latour BL/Developmental disorder of mental health,somatostatin,2
9572,van der Werf I/Developmental disorder of mental health,somatostatin,2
4021,Keller JM/Developmental disorder of mental health,somatostatin,2
